City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Retalhuleu,GT,2022-10-09 18:24:13,14.5333,-91.6833,91.69,62,75,6.91
216,Constitucion,CL,2022-10-09 18:24:13,-35.3333,-72.4167,62.31,43,0,16.15
217,Bathsheba,BB,2022-10-09 18:24:14,13.2167,-59.5167,84.81,79,40,16.11
218,Tiksi,RU,2022-10-09 18:24:14,71.6872,128.8694,12.06,95,92,8.59
219,Sao Jose Da Coroa Grande,BR,2022-10-09 18:24:15,-8.8978,-35.1478,81.1,71,62,10.67
220,Medvezhyegorsk,RU,2022-10-09 18:20:15,62.9167,34.4667,43.3,76,88,7.31
221,Itaqui,BR,2022-10-09 18:24:15,-29.1253,-56.5531,64.04,37,93,10.0
222,Finschhafen,PG,2022-10-09 18:24:15,-6.6024,147.8681,78.64,80,100,3.6
223,Geraldton,AU,2022-10-09 18:24:16,-28.7667,114.6,57.61,88,75,0.0
224,Gallup,US,2022-10-09 18:24:16,35.5281,-108.7426,61.56,63,100,4.61
225,Hithadhoo,MV,2022-10-09 18:24:17,-0.6,73.0833,81.18,78,100,14.29
226,Coquimbo,CL,2022-10-09 18:24:17,-29.9533,-71.3436,60.53,72,20,14.97
227,Celle,DE,2022-10-09 18:23:54,52.6226,10.0805,55.26,73,23,7.67
228,Tamara,HN,2022-10-09 18:25:18,14.15,-87.3333,65.95,94,100,18.41
229,Orapa,BW,2022-10-09 18:25:18,-21.2833,25.3667,79.57,12,0,8.14
230,Barcelos,PT,2022-10-09 18:20:39,41.5388,-8.6151,64.85,79,100,2.91
231,Hasaki,JP,2022-10-09 18:25:19,35.7333,140.8333,59.4,87,100,24.94
232,Jimenez,MX,2022-10-09 18:25:19,28.3333,-105.4,73.0,53,6,8.25
233,Pochutla,MX,2022-10-09 18:25:20,15.7432,-96.4661,90.82,57,87,5.35
234,Ulcinj,ME,2022-10-09 18:25:21,41.9294,19.2244,61.02,74,83,2.35
235,Port Lincoln,AU,2022-10-09 18:25:21,-34.7333,135.8667,55.06,73,58,14.76
236,Mayskiy,RU,2022-10-09 18:25:22,47.6931,40.1025,65.61,50,100,11.23
237,Coihaique,CL,2022-10-09 18:25:22,-45.5752,-72.0662,53.55,47,40,9.22
238,Sinop,TR,2022-10-09 18:25:23,41.7711,34.8709,57.0,92,92,5.23
239,Jati,PK,2022-10-09 18:25:23,24.3539,68.2671,86.88,28,3,8.93
240,Umm Lajj,SA,2022-10-09 18:25:23,25.0213,37.2685,82.83,67,0,11.41
241,Cerea,IT,2022-10-09 18:25:24,45.1921,11.2103,67.06,76,92,8.81
242,Codrington,AU,2022-10-09 18:25:24,-38.2667,141.9667,40.39,88,60,6.02
243,San Cristobal,VE,2022-10-09 18:25:25,7.7669,-72.225,75.38,90,89,2.44
244,Terrace,CA,2022-10-09 18:25:25,54.5163,-128.6035,49.91,100,100,2.3
245,Jacmel,HT,2022-10-09 18:25:26,18.2342,-72.5347,89.44,68,40,6.93
246,Port Stanley,FK,2022-10-09 18:25:26,-51.7,-57.85,57.49,60,83,26.44
247,Touros,BR,2022-10-09 18:25:27,-5.1989,-35.4608,82.62,71,48,17.0
248,Shar,KZ,2022-10-09 18:25:27,49.5886,81.0453,45.12,64,12,6.22
249,Languyan,PH,2022-10-09 18:25:28,5.2618,120.0807,80.04,80,65,4.65
250,North Bend,US,2022-10-09 18:25:28,43.4065,-124.2243,51.71,100,100,0.0
251,Bo Rai,TH,2022-10-09 18:25:29,12.5728,102.5371,79.74,96,100,2.15
252,Aswan,EG,2022-10-09 18:25:29,24.0934,32.907,84.96,24,0,17.63
253,Qaqortoq,GL,2022-10-09 18:25:29,60.7167,-46.0333,34.21,87,100,19.71
254,Pangai,TO,2022-10-09 18:25:30,-19.8,-174.35,73.51,88,75,16.11
255,Paracatu,BR,2022-10-09 18:25:30,-17.2222,-46.8747,84.11,44,82,9.86
256,Aripuana,BR,2022-10-09 18:25:30,-9.1667,-60.6333,99.52,27,78,2.1
257,Peterhead,GB,2022-10-09 18:25:31,57.5058,-1.7981,54.5,88,100,33.38
258,Georgetown,MY,2022-10-09 18:25:13,5.4112,100.3354,79.23,86,20,1.14
